-19.11 (6.8509741870335645) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (100, 120), 'learning_rate': 'constant', 'max_iter': 1200, 'solver': 'sgd'}
0.78 (0.0640044377475058) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (100, 120), 'learning_rate': 'constant', 'max_iter': 1200, 'solver': 'lbfgs'}
-8.95 (1.0718678274906444) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (100, 120), 'learning_rate': 'constant', 'max_iter': 1500, 'solver': 'adam'}
-19.34 (2.8911352667258385) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (100, 120), 'learning_rate': 'constant', 'max_iter': 1500, 'solver': 'sgd'}
0.79 (0.06633292416186262) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (100, 120), 'learning_rate': 'constant', 'max_iter': 1500, 'solver': 'lbfgs'}
-9.01 (1.1857934275926707) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (100, 120), 'learning_rate': 'adaptive', 'max_iter': 1000, 'solver': 'adam'}
-17.25 (7.630681756480606) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (100, 120), 'learning_rate': 'adaptive', 'max_iter': 1000, 'solver': 'sgd'}
0.8 (0.058880055941326004) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (100, 120), 'learning_rate': 'adaptive', 'max_iter': 1000, 'solver': 'lbfgs'}
-9.25 (1.1670569060340774) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (100, 120), 'learning_rate': 'adaptive', 'max_iter': 1200, 'solver': 'adam'}
-19.67 (5.729055984280888) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (100, 120), 'learning_rate': 'adaptive', 'max_iter': 1200, 'solver': 'sgd'}
0.79 (0.07344947323717822) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (100, 120), 'learning_rate': 'adaptive', 'max_iter': 1200, 'solver': 'lbfgs'}
-9.02 (1.0171802459143564) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (100, 120), 'learning_rate': 'adaptive', 'max_iter': 1500, 'solver': 'adam'}
-18.39 (4.077219101685439) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (100, 120), 'learning_rate': 'adaptive', 'max_iter': 1500, 'solver': 'sgd'}
0.8 (0.06510610264553578) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (100, 120), 'learning_rate': 'adaptive', 'max_iter': 1500, 'solver': 'lbfgs'}
-9.93 (1.994689640471689) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (80, 80), 'learning_rate': 'constant', 'max_iter': 1000, 'solver': 'adam'}
-17.45 (5.259650112834422) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (80, 80), 'learning_rate': 'constant', 'max_iter': 1000, 'solver': 'sgd'}
0.78 (0.07149077710901461) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (80, 80), 'learning_rate': 'constant', 'max_iter': 1000, 'solver': 'lbfgs'}
-11.28 (1.830431181165164) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (80, 80), 'learning_rate': 'constant', 'max_iter': 1200, 'solver': 'adam'}
-20.7 (5.434800842663359) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (80, 80), 'learning_rate': 'constant', 'max_iter': 1200, 'solver': 'sgd'}
0.77 (0.08402184494839043) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (80, 80), 'learning_rate': 'constant', 'max_iter': 1200, 'solver': 'lbfgs'}
-10.06 (1.1918290354531085) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (80, 80), 'learning_rate': 'constant', 'max_iter': 1500, 'solver': 'adam'}
